fips,year,total_subs_adj
55023,2019,4645635
55025,2019,29258305
55027,2019,19566379
55029,2019,5162753
55031,2019,41989
55033,2019,14623630
55035,2019,6173779
55037,2019,10151
55039,2019,17350889
55041,2019,83076
55043,2019,27550301
55045,2019,18209128
55047,2019,5263024
55049,2019,15423310
55051,2019,118728
55053,2019,7569127
55055,2019,11541839
55057,2019,7725648
55059,2019,4904767
55061,2019,8014267
55063,2019,3767421
55065,2019,24666112
55067,2019,2306151
55069,2019,1324204
55071,2019,12051455
55073,2019,19175996
55075,2019,4426984
55077,2019,4175175
55078,2019,122
55079,2019,216925
55081,2019,8992190
55083,2019,8514153
55085,2019,590429
55087,2019,14188865
55089,2019,2888860
55091,2019,4294329
55093,2019,10617639
55095,2019,9622839
55097,2019,7665362
55099,2019,696175
55101,2019,6310234
55103,2019,5524808
55105,2019,22963363
55107,2019,3065427
55109,2019,15693639
55111,2019,11364215
55113,2019,1163156
55115,2019,11007169
55117,2019,9495261
55119,2019,7992691
55121,2019,10415361
55123,2019,7266266
55125,2019,176237
55127,2019,12642837
55129,2019,1933563
55131,2019,6402258
55133,2019,3332335
55135,2019,7526877
55137,2019,3675108
55139,2019,9779594
55141,2019,8324969
55001,2018,3085628.899
55003,2018,431998.3165
55005,2018,9666599.294
55007,2018,369246.3404
55009,2018,7410968.594
55011,2018,5231737.957
55013,2018,1563623.521
55015,2018,5616179.06
55017,2018,9974550.01
55019,2018,7495077.676
55021,2018,8929816.684
55023,2018,3432283.026
55025,2018,16945384
55027,2018,12611636.04
55029,2018,3686108.234
55031,2018,37037.99598
55033,2018,9673848.573
55035,2018,4966338.058
55037,2018,26245.77652
55039,2018,10507106.56
55041,2018,41226.40013
55043,2018,19737638.89
55045,2018,11684422.62
55047,2018,3685855.529
55049,2018,12951961.38
55051,2018,94909.4207
55053,2018,5443933.857
55055,2018,7779257.903
55057,2018,4918932.062
55059,2018,2978523.682
55061,2018,5796270.29
55063,2018,2632924.014
55065,2018,13501323.31
55067,2018,2077158.203
55069,2018,1266361.508
55071,2018,9085839.052
55073,2018,12791402.51
55075,2018,4730736.012
55077,2018,2668788.81
55078,2018,1450.261577
55079,2018,116018.8964
55081,2018,4750636.767
